################################################################################
#
#
#                           Welcome to the {humanVerse}
#
#
################################################################################
# character^integer^character^character^integer^integer^integer^integer
################################################################################
library|idx|hex.color|color|red|green|blue|alpha
WEB-216|82|#996633|WEB.82|153|102|51|255
WEB-216|83|#CC6633|WEB.83|204|102|51|255
WEB-216|84|#FF6633|WEB.84|255|102|51|255
WEB-216|85|#006666|WEB.85|0|102|102|255
WEB-216|86|#336666|WEB.86|51|102|102|255
WEB-216|87|#666666|WEB.87|102|102|102|255
WEB-216|88|#996666|WEB.88|153|102|102|255
WEB-216|89|#CC6666|WEB.89|204|102|102|255
WEB-216|9|#660033|WEB.9|102|0|51|255
WEB-216|90|#FF6666|WEB.90|255|102|102|255
WEB-216|91|#006699|WEB.91|0|102|153|255
WEB-216|92|#336699|WEB.92|51|102|153|255
WEB-216|93|#666699|WEB.93|102|102|153|255
WEB-216|94|#996699|WEB.94|153|102|153|255
WEB-216|95|#CC6699|WEB.95|204|102|153|255
WEB-216|96|#FF6699|WEB.96|255|102|153|255
WEB-216|97|#0066CC|WEB.97|0|102|204|255
WEB-216|98|#3366CC|WEB.98|51|102|204|255
WEB-216|99|#6666CC|WEB.99|102|102|204|255
